Compound,Protons,Mass,PPM,Peak,Loss,Best,Intensity
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2O + ClClCl + Na + KK,4,9228.54275,8.6416677214793,9228.6225,17.17281288982499,False,7651568.357533213
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2O + ClClClCl + Na + KK,3,9264.02114,168.2649441793728,9265.57995,4.916155047637383,True,7129079.687463197
C378H629N105O118S1 + PtPt + NH3 + H2OH2OH2O + ClClClCl + Na + KK,3,9265.99056,44.313664830758846,9265.57995,11.90901280797511,False,7493499.489519663
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2O + ClClClCl + Na + KK,3,9265.00585,61.96434295827419,9265.57995,7.886400437093822,False,7658933.080891221
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2OH2O + ClClClCl + NaNa + K,3,9266.91203,143.7458341773136,9265.57995,17.51905298915048,False,6764616.603760498
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2O + ClClClCl + NaNa + K,3,9264.94261,68.7904962639928,9265.57995,7.518729519472325,False,7651519.105826935
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2O + ClClCl + NaNa + KK,5,9266.57056,106.90146841128059,9265.57995,33.522418732442965,False,7164748.762361752
C378H629N105O118S1 + PtPtPt + NaNa + KK,10,9264.11368,158.2741804177629,9265.57995,59.63261847751833,False,7208874.131707437
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3NH3 + K,7,9267.21165,176.07237879366983,9265.57995,61.468993135804595,False,6408134.313173813
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3NH3NH3 + H2O,6,9264.16647,152.5749785020059,9265.57995,21.050954641310046,False,7254393.352710769
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3NH3 + H2OH2O,6,9265.15118,46.27771222170404,9265.57995,28.994174029404867,False,7675970.92080441
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3 + H2OH2OH2O,6,9266.13589,59.996961689301486,9265.57995,37.96753665396055,False,7411124.759903008
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3NH3 + Cl,5,9265.5837,0.40472355776727603,9265.57995,20.156276698649755,False,7724112.456505527
C378H629N105O118S1 + PtPtPt + NH3NH3NH3 + H2OH2O + Cl,5,9267.55312,212.91164716853746,9265.57995,36.997415992175505,False,6001859.672738738
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3 + H2O + Cl,5,9266.56841,106.66947636557583,9265.57995,28.106829712617788,False,7165967.407298775
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2O + ClClClCl + NaNa + K,3,9265.92732,37.48896230294622,9265.57995,11.622916730988496,False,7529344.655011565
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2O + ClClCl + NaNa + KK,5,9267.55527,213.14358991693123,9265.57995,44.24649823849406,False,5999301.642817995
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2OH2O + ClClCl + Na + KK,4,9263.58862,214.9631294830669,9265.57995,7.502652085974056,False,6756130.767810343
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2OH2OH2O + ClCl + NaNa + KK,6,9266.13804,60.22897539312372,9265.57995,30.684078625651285,False,7409906.114965984
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2OH2OH2O + ClClCl + NaNa + K,4,9264.51009,115.47939282341564,9265.57995,5.566555780282409,False,7550686.490070646
